,date,value,period,onediffvalue
1511,Nov 26 2017,27420.942584151115,2017-11-26,5189.281507080599
1510,Nov 25 2017,29371.5340681784,2017-11-25,1950.5914840272853
1509,Nov 24 2017,40141.00134505217,2017-11-24,10769.467276873773
1508,Nov 23 2017,31682.688708553997,2017-11-23,-8458.312636498176
1507,Nov 22 2017,21553.440165696862,2017-11-22,-10129.248542857134
1506,Nov 21 2017,19338.162685345756,2017-11-21,-2215.2774803511056
1505,Nov 20 2017,19544.316951493478,2017-11-20,206.1542661477215
1504,Nov 19 2017,24285.621601036186,2017-11-19,4741.304649542708
1503,Nov 18 2017,22365.39088642043,2017-11-18,-1920.2307146157546
1502,Nov 17 2017,17261.74301482328,2017-11-17,-5103.64787159715
1501,Nov 16 2017,16360.078960919525,2017-11-16,-901.6640539037562
1500,Nov 15 2017,16334.316770053694,2017-11-15,-25.762190865831144
1499,Nov 14 2017,16948.023471072378,2017-11-14,613.7067010186838
1498,Nov 13 2017,18031.536270429056,2017-11-13,1083.5127993566784
1497,Nov 12 2017,21620.05277879069,2017-11-12,3588.516508361634
1496,Nov 11 2017,21848.31286785487,2017-11-11,228.26008906418065
1495,Nov 10 2017,18017.53501296667,2017-11-10,-3830.7778548882015
1494,Nov 09 2017,15947.332486854859,2017-11-09,-2070.2025261118106
1493,Nov 08 2017,15360.820557449666,2017-11-08,-586.5119294051929
1492,Nov 07 2017,16081.42938009368,2017-11-07,720.6088226440133
1491,Nov 06 2017,16417.526107570986,2017-11-06,336.09672747730656
1490,Nov 05 2017,20202.556420236902,2017-11-05,3785.0303126659164
1489,Nov 04 2017,20494.40147957968,2017-11-04,291.84505934277695
1488,Nov 03 2017,16057.268921563102,2017-11-03,-4437.132558016578
1487,Nov 02 2017,15464.169895596862,2017-11-02,-593.0990259662394
1486,Nov 01 2017,16020.586944680701,2017-11-01,556.4170490838387
1485,Oct 31 2017,15102.97859320218,2017-10-31,-917.6083514785205
1484,Oct 30 2017,15543.251052909533,2017-10-30,440.272459707352
1483,Oct 29 2017,18599.40706981321,2017-10-29,3056.1560169036766
1482,Oct 28 2017,18531.64433241044,2017-10-28,-67.76273740276883
1481,Oct 27 2017,15620.19411499984,2017-10-27,-2911.4502174106
1480,Oct 26 2017,14832.33748472,2017-10-26,-787.8566302798408
1479,Oct 25 2017,14560.823421424873,2017-10-25,-271.5140632951261
1478,Oct 24 2017,15422.563474052773,2017-10-24,861.7400526278998
1477,Oct 23 2017,15508.537874064255,2017-10-23,85.97440001148243
1476,Oct 22 2017,18719.885571155253,2017-10-22,3211.347697090998
1475,Oct 21 2017,18531.686732836442,2017-10-21,-188.19883831881089
1474,Oct 20 2017,15338.401928602689,2017-10-20,-3193.2848042337537
1473,Oct 19 2017,15018.836334980251,2017-10-19,-319.5655936224375
1472,Oct 18 2017,15279.34855215556,2017-10-18,260.51221717530825
1471,Oct 17 2017,15515.278803420804,2017-10-17,235.9302512652448
1470,Oct 16 2017,15865.56074364593,2017-10-16,350.28194022512616
1469,Oct 15 2017,18946.54413629674,2017-10-15,3080.983392650809
1468,Oct 14 2017,18834.653798532105,2017-10-14,-111.89033776463475
1467,Oct 13 2017,15161.975952166513,2017-10-13,-3672.677846365592
1466,Oct 12 2017,14593.736919970132,2017-10-12,-568.2390321963812
1465,Oct 11 2017,15036.29675281448,2017-10-11,442.5598328443484
1464,Oct 10 2017,14917.795459848152,2017-10-10,-118.50129296632804
1463,Oct 09 2017,16759.182825387437,2017-10-09,1841.3873655392854
1462,Oct 08 2017,19313.008495687314,2017-10-08,2553.825670299877
1461,Oct 07 2017,19139.45923389753,2017-10-07,-173.5492617897835
1460,Oct 06 2017,15569.277191578429,2017-10-06,-3570.182042319102
1459,Oct 05 2017,14940.737364591369,2017-10-05,-628.5398269870602
1458,Oct 04 2017,14785.266654107943,2017-10-04,-155.47071048342514
1457,Oct 03 2017,14748.380485424812,2017-10-03,-36.88616868313147
1456,Oct 02 2017,14445.713411024433,2017-10-02,-302.6670744003786
1455,Oct 01 2017,19729.825915876707,2017-10-01,5284.112504852274
1454,Sep 30 2017,19462.338127521394,2017-09-30,-267.48778835531266
1453,Sep 29 2017,14879.424824989148,2017-09-29,-4582.913302532246
1452,Sep 28 2017,14743.586171130692,2017-09-28,-135.83865385845638
1451,Sep 27 2017,15216.200905995825,2017-09-27,472.61473486513387
1450,Sep 26 2017,14999.90114023412,2017-09-26,-216.2997657617052
1449,Sep 25 2017,15572.359145430297,2017-09-25,572.4580051961766
1448,Sep 24 2017,19060.814269880815,2017-09-24,3488.4551244505183
1447,Sep 23 2017,18739.38151764101,2017-09-23,-321.43275223980527
1446,Sep 22 2017,15506.553819650679,2017-09-22,-3232.827697990331
1445,Sep 21 2017,15394.716615491281,2017-09-21,-111.83720415939752
1444,Sep 20 2017,14972.65808766105,2017-09-20,-422.05852783023147
1443,Sep 19 2017,15188.552183578413,2017-09-19,215.8940959173633
1442,Sep 18 2017,16143.251992915602,2017-09-18,954.6998093371894
1441,Sep 17 2017,19397.80031665249,2017-09-17,3254.548323736888
1440,Sep 16 2017,20026.0637573992,2017-09-16,628.2634407467085
1439,Sep 15 2017,16602.144108050692,2017-09-15,-3423.919649348507
1438,Sep 14 2017,16196.286227660275,2017-09-14,-405.85788039041654
1437,Sep 13 2017,16477.881942822823,2017-09-13,281.595715162548
1436,Sep 12 2017,17085.735554306728,2017-09-12,607.8536114839044
1435,Sep 11 2017,16371.540337530561,2017-09-11,-714.1952167761665
1434,Sep 10 2017,17454.766529999586,2017-09-10,1083.2261924690247
1433,Sep 09 2017,19711.605898488488,2017-09-09,2256.8393684889015
1432,Sep 08 2017,18322.204699308895,2017-09-08,-1389.4011991795924
1431,Sep 07 2017,17497.908741654104,2017-09-07,-824.295957654791
1430,Sep 06 2017,17654.263153770087,2017-09-06,156.354412115983
1429,Sep 05 2017,18529.928156233465,2017-09-05,875.6650024633782
